Category_id,Title,Description,Price,Created_At,Updated_At,Image_URL
1,Room Cleaning,"Professional room cleaning service to keep your space spotless and welcoming. Includes dusting, vacuuming, and surface sanitization for a fresh and clean environment.",305.33,31/07/2024 05:15,05/08/2024 05:15,https://images.unsplash.com/photo-1621905251918-48416bd8575a?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
1,Chimney Cleaning,"Efficient chimney cleaning service to remove soot and debris, ensuring safe and effective smoke ventilation. Recommended for households using wood or gas fireplaces.",477.44,08/04/2024 05:15,28/04/2024 05:15,https://img.freepik.com/foto-gratis/mujer-madura-limpia-azulejos-bano_1398-1302.jpg?t=st=1731339519~exp=1731343119~hmac=4d3a8e0a79e94b07a21101b6f6af25084d4e273f0fe4d1663dff2c06fc2dbc66&w=996
1,Tank Cleaning,"Comprehensive tank cleaning service for clean and safe water storage. Removes sediments and contaminants, ideal for residential and commercial water tanks.",252.08,15/03/2024 05:15,19/03/2024 05:15,https://img.freepik.com/foto-gratis/trabajador-fabrica-pie-sobre-plataforma-metalica-tanques-almacenamiento-industrial-mirando-arriba-inspeccion-visual-silos-produccion-alimentos_342744-450.jpg?t=st=1731339607~exp=1731343207~hmac=c795fbef41087a3d99c6cada6b8e3d4607c83e046823fa04ad2eadb4436a9c48&w=996
1,Carpet Cleaning,"Expert carpet cleaning to remove stains, dust, and allergens. Revitalizes your carpets with deep cleaning techniques for a healthier indoor atmosphere.",363.63,21/12/2023 05:15,17/01/2024 05:15,https://img.freepik.com/foto-gratis/primer-plano-aspiradora-sala-estar_181624-51417.jpg?t=st=1731339659~exp=1731343259~hmac=86a98c3e32440bc96e5f1fbbac974b022d83fd9634f9c91b5df766e6f919457e&w=996
1,Deep Cleaning,Thorough deep cleaning service covering every nook and cranny of your home or office. Ideal for a seasonal refresh or post-renovation cleanup.,45.54,03/11/2023 05:15,17/11/2023 05:15,https://img.freepik.com/foto-gratis/persona-servicio-limpieza-profesional-que-usa-limpiador-vapor-oficina_23-2150520644.jpg?t=st=1731339701~exp=1731343301~hmac=a132134abea11cb8979c0c8869b8c55359b17dd9bee8bd5a1bdd90789122a281&w=996
1,Sofa Cleaning,"Specialized sofa cleaning service to remove stains, dust, and odors, extending the life of your furniture and enhancing its appearance.",289.67,11/09/2024 05:15,25/09/2024 05:15,https://img.freepik.com/foto-gratis/hombre-haciendo-servicio-profesional-limpieza-hogar_23-2150359024.jpg?t=st=1731339865~exp=1731343465~hmac=188d3c589bbf3397550c7cdd366cc70dfd93244c02f51bebe39f7304718fdf0c&w=996
1,Tile Cleaning,"Professional tile cleaning service to restore shine and remove stubborn dirt, mold, and stains from tile surfaces.",455.28,24/05/2024 05:15,26/05/2024 05:15,https://img.freepik.com/foto-gratis/concepto-limpieza-fregona_23-2148104632.jpg?t=st=1731339915~exp=1731343515~hmac=becf2b0d2bb6983c576648b20b9e27a83904a106b7ab5284665d2e3d1f1a8b17&w=740
1,Dry Cleaning,"Reliable dry cleaning service for delicate fabrics, ensuring cleanliness without causing any damage.",449.55,19/04/2024 05:15,21/04/2024 05:15,https://img.freepik.com/foto-gratis/vista-frontal-mujer-joven-lavadora-preparando-ropa-lavar-pared-blanca_140725-107613.jpg?t=st=1731339977~exp=1731343577~hmac=4125ba73da730b3a23905450e61c214227c07bfdfb22e6e8edb975b5115957d4&w=360
3,Electrical Wiring Repair,Comprehensive electrical wiring repair service for safe and efficient power distribution.,37.32,01/02/2024 05:15,05/02/2024 05:15,https://img.freepik.com/foto-gratis/cerca-manos-joven-reparando-interruptor-roto-haciendo-renovaciones-hogar_662251-678.jpg?t=st=1731340065~exp=1731343665~hmac=e7e17f59c8bc34b5d5e611e5a1028daacd4e63f836ea05f175ca44470d8e32ca&w=740
3,Lighting Installation,Expert lighting installation service to brighten your space with efficient and stylish lighting solutions.,181.77,21/10/2024 05:15,17/11/2024 05:15,https://img.freepik.com/foto-gratis/constructor-electricista-barba-trabajador-casco-blanco-trabajo-instalacion-lamparas-altura-profesional-monos-taladro-fondo-sitio-reparacion_169016-7328.jpg?t=st=1731340029~exp=1731343629~hmac=620253ea7af67d994e7a6dd6bcf19c10d9116e8696fbc68a14c58862c4370b1d&w=740
3,Appliance Electrical Repair,Efficient repair services for electrical appliances to restore functionality and extend their life.,208.94,23/01/2024 05:15,16/02/2024 05:15,https://img.freepik.com/foto-gratis/reparacion-trabajador-mantenimiento-servicio_23-2149176702.jpg?t=st=1731340130~exp=1731343730~hmac=56195202575895e945ee5f28247c9cf6176d60c82663aaeef0e515c30db508cf&w=360
3,Generator Maintenance,Routine generator maintenance service to ensure uninterrupted power supply during outages.,167.46,09/09/2024 05:15,02/10/2024 05:15,https://img.freepik.com/foto-gratis/hombre-herramientas-camion-trabajador-uniforme-camion-defectuoso_1157-46516.jpg?t=st=1731340208~exp=1731343808~hmac=96fac9e77eef4cd31db665d686308c366df9f1606cd611a9e026c3bf9d193d03&w=996
3,Circuit Breaker Fixes,Professional circuit breaker repair and replacement to prevent electrical overloads and ensure safety.,194.92,22/04/2024 05:15,26/04/2024 05:15,https://img.freepik.com/foto-gratis/instalacion-reparacion-casa-trabajo-electricista_53876-13994.jpg?t=st=1731340270~exp=1731343870~hmac=c9b1cf143d006c7f3afce3f069f2d6994d78f8a8f62260581d0595964d75c925&w=996
2,Pipe Repair,"Quick and effective pipe repair services to fix leaks, cracks, and prevent water damage.",461.23,24/07/2024 05:15,18/08/2024 05:15,https://img.freepik.com/foto-gratis/hombre-fijacion-fregadero-cocina_53876-13430.jpg?t=st=1731340330~exp=1731343930~hmac=6f2a4327705a1607b29513ae0cf2fdca80d6c2e731bba29c5cf9932dad5fa79f&w=900
2,Leak Detection,Accurate leak detection services to locate and repair hidden leaks in pipes and fixtures.,289.52,10/07/2024 05:15,26/07/2024 05:15,https://img.freepik.com/foto-gratis/servicio-reparacion-fontaneria_181624-27146.jpg?t=st=1731340354~exp=1731343954~hmac=3ed5731b9414429ddfc0216422b0d4c17206bf9f4afc3c0578c9255a88303da1&w=996
2,Water Tank Installation,Professional water tank installation to ensure a steady water supply with proper setup and safety.,235.88,02/12/2023 05:15,29/12/2023 05:15,https://img.freepik.com/fotos-premium/arquitecto-e-ingeniero-experiencia-construccion-edificios-varios-pisos-inspeccion-agua_159755-1584.jpg?w=996
2,Drain Cleaning,Effective drain cleaning services to remove blockages and improve water flow in pipes.,397.63,25/06/2024 05:15,08/07/2024 05:15,https://img.freepik.com/fotos-premium/tecnico-desobstruyendo-drenaje-serpiente-o-embolo_857340-11784.jpg?w=996
2,Faucet and Sink Repair,"Quick faucet and sink repair services to fix leaks, drips, and enhance functionality.",193.93,10/02/2024 05:15,28/02/2024 05:15,https://img.freepik.com/foto-gratis/vista-lateral-mujer-trabajando-como-fontanero_23-2150746370.jpg?t=st=1731340454~exp=1731344054~hmac=13414219e2c4d0fdc5785cd491dcf0bc4f734791bf384a2e366af87396f077f4&w=996
1,Window Cleaning,"Professional window cleaning for sparkling, streak-free windows. Enhances indoor lighting and the overall aesthetic of your space.",178.91,27/07/2024 05:15,24/08/2024 05:15,https://img.freepik.com/foto-gratis/primer-plano-persona-limpiando-ventanas-escobilla-goma-roja_181624-26145.jpg?t=st=1731340526~exp=1731344126~hmac=6252eae8b131de09c185e1e3dd1b0c08e0fc9887fbaeb782741dfad513b42846&w=360
1,Mattress Cleaning,"Deep mattress cleaning service to remove dust mites, allergens, and stains for a healthier sleep.",290.44,08/02/2024 05:15,15/02/2024 05:15,https://img.freepik.com/fotos-premium/colchon-limpieza-conserje-equipo-profesional-dormitorio_93200-3853.jpg?w=996
1,Curtain Cleaning,Thorough curtain cleaning service to refresh and restore fabric without causing damage.,227.71,05/05/2024 05:15,05/05/2024 05:15,https://img.freepik.com/foto-gratis/nuevo-estilo-vida-normal-mujer-asiatica-vestido-amarillo-protege-compras-mascaras-grandes-almacenes-despues-final-periodo-cuarentena-cierrenuevo-estilo-vida-normal-mujer-asiatica-vestido-amarillo-protege-compras_609648-1210.jpg?t=st=1731340608~exp=1731344208~hmac=1bbb2db1844686d0e698e0d9b67b7b9a0e0201bcfe184bf9176af57e66e5df86&w=996
1,Pressure Washing,"Powerful pressure washing service to remove dirt, mold, and grime from outdoor surfaces.",222.89,13/11/2023 05:15,11/12/2023 05:15,https://img.freepik.com/fotos-premium/hombre-tailandes-hacer-presion-lavado-madera_30478-3738.jpg?w=900
1,Air Duct Cleaning,Comprehensive air duct cleaning service to improve air quality and system efficiency.,484.95,09/10/2024 05:15,15/10/2024 05:15,https://img.freepik.com/foto-gratis/personas-tiro-medio-cascos_23-2149366666.jpg?t=st=1731340691~exp=1731344291~hmac=e7ff998f2ecf3334e75d87aa73291b6b19aae7d067a4007fbb7a47f0c34927e2&w=996
1,Grout Cleaning,"Specialized grout cleaning to remove stains, mold, and restore the original look of tiled surfaces.",303.29,20/06/2024 05:15,11/07/2024 05:15,https://img.freepik.com/foto-gratis/mano-limpiando_23-2148104569.jpg?t=st=1731340732~exp=1731344332~hmac=68b8ec6840bb041eccad3f061fac394fa1df2a572ecd1ccd3eebe419e32c19b7&w=996
